# Wordlist

# DATA
ID	DOCULECT	IPA	COUNTERPART	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES	ALIGNMENT
372	arhu1242	nʉn	nʉn	I	n ʉ n	4 7 4	AXN	NYN	5	5.N.C 5.Y.V 5.N.c	2.0 1.5 0.8	0	5	n ʉ n - -
376	ashe1272	no	no	I	n o	4 7	AX	NU	6	6.N.C 6.U.V	2.0 1.5	0	6	- - n - o - - -
380	awac1239	na	na	I	n a	4 7	AX	NA	7	7.N.C 7.A.V	2.0 1.5	0	6	- - n - a - - -
384	ayac1239	ɲuqa	ɲuqa	I	ɲ u q a	4 7 1 7	AXBZ	NYKA	8	8.N.C 8.Y.V 8.K.C 8.A.V	2.0 1.5 1.75 0.8	0	8	ɲ u q a
388	boro1282	imi	imi	I	i m i	7 4 7	XBZ	IMI	12	12.I.V 12.M.C 12.I.V	1.5 1.75 0.8	0	12	- i m i - -
392	cand1248	no	no	I	n o	4 7	AX	NU	13	13.N.C 13.U.V	2.0 1.5	0	6	- - n - o - - -
396	capa1241	he	he	I	h e	3 7	AX	HE	15	15.H.C 15.E.V	2.0 1.5	0	15	h e
400	cash1251	ɨ	ɨ	I	ɨ	7	X	I	16	16.I.V	1.5	0	16	ɨ - -
404	cash1254	e	e	I	e	7	X	E	17	17.E.V	1.5	0	9	e - - - -
408	cavi1250	i	i	I	i	7	X	I	18	18.I.V	1.5	0	16	i - -
411	cent2142	na	na	I	n a	4 7	AX	NA	20	20.N.C 20.A.V	2.0 1.5	0	16	- n a
415	chac1249	i	i	I	i	7	X	I	21	21.I.V	1.5	0	16	i - -
419	chac1251	ɨ	ɨ	I	ɨ	7	X	I	22	22.I.V	1.5	0	16	ɨ - -
423	chay1248	ka	ka	I	k a	1 7	AX	KA	23	23.K.C 23.A.V	2.0 1.5	0	8	- - k a
429	chib1270	hyt͡ʃa	hyt͡ʃa	I	h y t͡ʃ a	3 7 2 7	AXBZ	HYCA	24	24.H.C 24.Y.V 24.C.C 24.A.V	2.0 1.5 1.75 0.8	0	24	h y t͡ʃ a - -
433	chip1262	wer	wer	I	w e r	6 7 5	AXN	WER	25	25.W.C 25.E.V 25.R.c	2.0 1.5 0.8	0	25	w e r
437	chol1284	ok	ok	I	o k	7 1	XN	UK	26	26.U.V 26.K.c	1.5 0.8	0	26	o k
441	cusc1236	nuqa	nuqa	I	n u q a	4 7 1 7	AXBZ	NYKA	29	29.N.C 29.Y.V 29.K.C 29.A.V	2.0 1.5 1.75 0.8	0	8	n u q a
445	djeo1235	ħø	ħø	I	ħ ø	3 7	AX	HU	31	31.H.C 31.U.V	2.0 1.5	0	19	ħ ø - - - -
449	esee1248	e	e	I	e	7	X	E	35	35.E.V	1.5	0	35	- e
452	guam1248	na	na	I	n a	4 7	AX	NA	37	37.N.C 37.A.V	2.0 1.5	1	6	- - n - a - - -
455	hixk1239	uro	uro	I	u r o	7 5 7	XBZ	YRU	38	38.Y.V 38.R.C 38.U.V	1.5 1.75 0.8	0	38	u r o -
459	iqui1243	ki	ki	I	k i	1 7	AX	KI	42	42.K.C 42.I.V	2.0 1.5	0	8	- - k i
463	jebe1250	kwa	kwa	I	k w a	1 6 7	ACX	KWA	45	45.K.C 45.W.C 45.A.V	2.0 1.5 1.5	0	45	k w a
467	kari1311	ɨ̃n	ɨ̃n	I	ɨ̃ n	7 4	XN	IN	48	48.I.V 48.N.c	1.5 0.8	0	48	- - ɨ̃ n
471	krik1239	pa	pa	I	p a	1 7	AX	PA	49	49.P.C 49.A.V	2.0 1.5	0	49	p a
474	kunz1244	aka	aka	I	a k a	7 1 7	XBZ	AKA	50	50.A.V 50.K.C 50.A.V	1.5 1.75 0.8	0	24	- a k a - -
478	leco1242	era	era	I	e r a	7 5 7	XBZ	ERA	51	51.E.V 51.R.C 51.A.V	1.5 1.75 0.8	0	38	e r a -
482	mapu1245	iɲt͡ʃe	iɲt͡ʃe	I	i ɲ t͡ʃ e	7 4 2 7	XMBZ	INCE	55	55.I.V 55.N.c 55.C.C 55.E.V	1.5 1.1 1.75 0.8	0	5	- i ɲ t͡ʃ e
486	moch1259	moiɲ	moiɲ	I	m o i ɲ	4 7 7 4	AXYN	MUIN	59	59.M.C 59.U.V 59.I.V 59.N.c	2.0 1.5 1.3 0.8	0	48	m o i ɲ
